"_time","1등게임수","1등평균상금","구매가능빅맥수(만개)","빅맥기준가격(원)","연간최고상금"
"2003-01-01 00:00:00.000+0900","209","614026250","19.19","3200","1967504600"
"2004-01-01 00:00:00.000+0900","252","1472387156","58.9","2500","2114436500"
"2005-01-01 00:00:00.000+0900","341","1562807577","62.51","2500","2109462840"
"2006-01-01 00:00:00.000+0900","302","1564632980","53.95","2900","2104673760"
"2007-01-01 00:00:00.000+0900","302","1439065426","44.97","3200","1994726280"
"2008-01-01 00:00:00.000+0900","285","1361637526","40.05","3400","2102669520"
"2009-01-01 00:00:00.000+0900","295","1600343420","47.07","3400","2145424800"
"2010-01-01 00:00:00.000+0900","291","1464084901","39.57","3700","2122396875"
"2011-01-01 00:00:00.000+0900","366","1493448966","40.36","3700","2096245438"
"2012-01-01 00:00:00.000+0900","346","1569003308","40.23","3900","2111645000"
"2013-01-01 00:00:00.000+0900","403","1540971401","37.58","4100","2104038911"
"2014-01-01 00:00:00.000+0900","391","1536125732","35.72","4300","2136877983"
"2015-01-01 00:00:00.000+0900","393","1618684643","36.79","4400","2120987947"
"2016-01-01 00:00:00.000+0900","458","1593343625","36.21","4400","2114365360"
"2017-01-01 00:00:00.000+0900","478","1563745059","34.75","4500","2138130000"
"2018-01-01 00:00:00.000+0900","484","1538514579","34.19","4500","2128107938"
"2019-01-01 00:00:00.000+0900","507","1601346352","35.59","4500","2108986950"
"2020-01-01 00:00:00.000+0900","525","1649621340","36.66","4500","2144799638"
