"_time","1등게임수","1등평균상금","구매가능짜장면(만그릇)","연간최고상금","짜장면기준가격(원)","짜장면최고가지역"
"2003-01-01 00:00:00.000+0900","209","614026250","18.52","1967504600","3316","서울특별시"
"2004-01-01 00:00:00.000+0900","252","1472387156","43.15","2114436500","3412","서울특별시"
"2005-01-01 00:00:00.000+0900","341","1562807577","44.74","2109462840","3493","경기도"
"2006-01-01 00:00:00.000+0900","302","1564632980","44.24","2104673760","3537","경기도"
"2007-01-01 00:00:00.000+0900","302","1439065426","40.12","1994726280","3587","경기도"
"2008-01-01 00:00:00.000+0900","285","1361637526","33.89","2102669520","4018","경기도"
"2009-01-01 00:00:00.000+0900","295","1600343420","39.19","2145424800","4084","경기도"
"2010-01-01 00:00:00.000+0900","291","1464084901","35.95","2122396875","4073","경기도"
"2011-01-01 00:00:00.000+0900","366","1493448966","32.42","2096245438","4607","충청북도"
"2012-01-01 00:00:00.000+0900","346","1569003308","33.5","2111645000","4684","충청북도"
"2013-01-01 00:00:00.000+0900","403","1540971401","31.84","2104038911","4840","충청북도"
"2014-01-01 00:00:00.000+0900","391","1536125732","31.37","2136877983","4897","충청북도"
"2015-01-01 00:00:00.000+0900","393","1618684643","32.84","2120987947","4929","충청북도"
"2016-01-01 00:00:00.000+0900","458","1593343625","31.96","2114365360","4985","충청북도"
"2017-01-01 00:00:00.000+0900","478","1563745059","30.73","2138130000","5089","대전광역시"
"2018-01-01 00:00:00.000+0900","484","1538514579","27.97","2128107938","5500","제주특별자치도"
"2019-01-01 00:00:00.000+0900","507","1601346352","27.85","2108986950","5750","제주특별자치도"
"2020-01-01 00:00:00.000+0900","525","1649621340","28.69","2144799638","5750","제주특별자치도"
